,model,hours,mape,mae,rmse,nrmse
0,RF,3,0.14497977086142855,64.89633333333335,65.43127596952394,0.13921548078622115
1,GBR,3,0.2764296297236452,141.1412755565655,170.33483943406335,0.3624145519873688
2,XGB,3,0.3318528202788676,163.85393269856772,182.64910346559176,0.3886151137565782
3,RF,6,0.19733672012896827,73.63366666666667,75.44842407234229,0.18737191408694276
4,GBR,6,0.16233195857061058,78.63573170837626,121.49388545803114,0.3017232254752429
5,XGB,6,0.2741203359141573,118.63747914632161,140.20559105799555,0.34819269302482336
6,RF,9,0.18633808533782267,67.40666666666667,72.66009026204749,0.1869470589932611
7,GBR,9,0.2047908082978488,88.48942054358027,120.78404682519998,0.3107651290528301
8,XGB,9,0.2932100077164753,119.62271457248264,135.70072032421066,0.3491442203881921
